Date,PETZ3,AMERICANAS,VIA VAREJO,AMAZON,APPLE
2021-03-02,71.41999816894531,78.58999633789062,43.76374816894531,22.31999969482422,12.020000457763672
2021-03-03,68.91999816894531,76.1500015258789,43.049400329589844,21.799999237060547,11.920000076293945
2021-03-04,68.26000213623047,74.68000030517578,42.56662368774414,21.399999618530273,12.109999656677246
2021-03-05,69.05000305175781,71.48999786376953,42.499900817871094,21.3700008392334,12.029999732971191
2021-03-08,67.62999725341797,66.63999938964844,42.86885070800781,20.229999542236328,11.539999961853027
2021-03-09,70.4000015258789,63.13999938964844,44.744998931884766,21.489999771118164,10.979999542236328
2021-03-10,68.0999984741211,67.9800033569336,43.37125015258789,20.5,11.869999885559082
2021-03-11,67.80000305175781,67.41999816894531,43.363399505615234,20.260000228881836,12.319999694824219
2021-03-12,66.9800033569336,63.90999984741211,43.445823669433594,19.6299991607666,11.800000190734863
2021-03-15,69.95999908447266,65.81999969482422,43.37125015258789,20.399999618530273,12.239999771118164
2021-03-16,70.73999786376953,63.7599983215332,43.547874450683594,20.0,12.0
2021-03-17,69.7300033569336,64.55000305175781,44.05812454223633,20.420000076293945,12.1899995803833
2021-03-18,67.23999786376953,61.25,42.130950927734375,19.969999313354492,11.609999656677246
2021-03-19,66.0199966430664,62.38999938964844,42.213375091552734,20.3700008392334,12.15999984741211
2021-03-22,68.23999786376953,62.959999084472656,43.13574981689453,20.3799991607666,12.079999923706055
2021-03-23,67.80000305175781,62.560001373291016,43.17499923706055,20.049999237060547,12.109999656677246
2021-03-24,67.94999694824219,60.43000030517578,43.60675048828125,19.899999618530273,11.4399995803833
2021-03-25,68.58000183105469,60.79999923706055,43.40657424926758,19.93000030517578,12.039999961853027
2021-03-26,69.30000305175781,59.290000915527344,43.63422393798828,19.290000915527344,11.970000267028809
2021-03-29,69.5,60.2599983215332,43.86972427368164,19.239999771118164,11.8100004196167
2021-03-30,69.1500015258789,61.54999923706055,44.08952331542969,19.149999618530273,12.34000015258789
2021-03-31,69.19999694824219,60.75,43.76374816894531,19.790000915527344,12.069999694824219
2021-04-01,70.31999969482422,61.56999969482422,45.13750076293945,19.760000228881836,12.25
2021-04-05,71.51000213623047,61.70000076293945,45.87932586669922,20.329999923706055,12.520000457763672
2021-04-06,70.86000061035156,63.13999938964844,45.27487564086914,20.600000381469727,12.359999656677246
2021-04-07,72.04000091552734,61.27000045776367,46.23649978637695,20.200000762939453,12.3100004196167
2021-04-08,72.77999877929688,63.2400016784668,46.10697555541992,21.56999969482422,12.920000076293945
2021-04-09,75.55000305175781,62.63999938964844,47.89677429199219,22.299999237060547,12.470000267028809
2021-04-12,75.48999786376953,63.29999923706055,48.54832458496094,21.809999465942383,12.569999694824219
2021-04-13,76.93000030517578,68.9800033569336,48.709251403808594,21.549999237060547,12.609999656677246
2021-04-14,74.93000030517578,67.06999969482422,47.064674377441406,21.8799991607666,12.779999732971191
2021-04-15,75.6500015258789,68.19000244140625,47.49250030517578,21.639999389648438,12.829999923706055
2021-04-16,75.19999694824219,68.19999694824219,47.688751220703125,22.59000015258789,12.75
2021-04-19,74.88999938964844,67.5999984741211,46.856651306152344,22.459999084472656,12.800000190734863
2021-04-20,74.04000091552734,65.69999694824219,46.000999450683594,22.459999084472656,12.670000076293945
2021-04-22,72.30000305175781,65.0,45.20029830932617,21.799999237060547,12.630000114440918
2021-04-23,74.20999908447266,64.80000305175781,45.95782470703125,22.31999969482422,13.119999885559082
2021-04-26,73.58999633789062,64.3499984741211,46.49162673950195,22.3799991607666,12.850000381469727
2021-04-27,73.70999908447266,62.459999084472656,46.49162673950195,23.0,12.15999984741211
2021-04-28,71.91000366210938,63.45000076293945,46.45237350463867,23.389999389648438,12.220000267028809
2021-04-29,70.95999908447266,68.33000183105469,48.08124923706055,23.899999618530273,12.100000381469727
2021-04-30,71.44999694824219,67.31999969482422,47.17850112915039,24.170000076293945,11.829999923706055
2021-05-03,71.4000015258789,66.73999786376953,45.518226623535156,23.68000030517578,11.869999885559082
2021-05-04,69.48999786376953,65.8499984741211,45.11787414550781,23.799999237060547,11.9399995803833
2021-05-05,68.51000213623047,65.4000015258789,43.94430160522461,24.209999084472656,12.100000381469727
2021-05-06,68.94000244140625,63.0,43.99924850463867,24.770000457763672,11.960000038146973
2021-05-07,68.2699966430664,62.47999954223633,43.1828498840332,24.860000610351562,12.15999984741211
2021-05-10,66.5,59.75,41.746299743652344,24.6200008392334,12.029999732971191
2021-05-11,65.69999694824219,59.099998474121094,42.09562683105469,23.350000381469727,12.119999885559082
2021-05-12,65.25,58.56999969482422,41.84049987792969,21.260000228881836,11.699999809265137
2021-05-13,66.0,60.0099983215332,41.946475982666016,21.520000457763672,12.220000267028809
2021-05-14,67.12999725341797,59.310001373291016,42.40962600708008,21.670000076293945,12.130000114440918
2021-05-17,66.44999694824219,58.5,43.14360046386719,22.5,11.979999542236328
2021-05-18,65.80000305175781,57.7400016784668,42.44102478027344,22.489999771118164,11.989999771118164
2021-05-19,66.0999984741211,56.59000015258789,43.018001556396484,21.600000381469727,12.050000190734863
2021-05-20,67.08000183105469,56.79999923706055,42.70399856567383,21.959999084472656,11.90999984741211
2021-05-21,67.08999633789062,56.0,42.833526611328125,21.25,11.869999885559082
2021-05-24,67.62999725341797,58.310001373291016,43.17499923706055,21.520000457763672,12.460000038146973
2021-05-25,67.86000061035156,59.2400016784668,43.58712387084961,22.1200008392334,12.430000305175781
2021-05-26,67.2300033569336,57.9900016784668,43.27312469482422,22.209999084472656,12.510000228881836
2021-05-27,66.01000213623047,59.59000015258789,42.649051666259766,23.020000457763672,12.720000267028809
2021-05-28,65.19999694824219,59.88999938964844,41.94255065917969,23.040000915527344,12.720000267028809
2021-05-31,65.5,59.75,42.20159912109375,23.34000015258789,12.979999542236328
2021-06-01,64.16999816894531,63.65999984741211,41.56967544555664,23.200000762939453,13.84000015258789
2021-06-02,63.40999984741211,63.54999923706055,41.07512664794922,23.200000762939453,14.350000381469727
2021-06-04,63.5,64.3499984741211,40.42357635498047,22.950000762939453,14.550000190734863
2021-06-07,63.27000045776367,65.70999908447266,40.31367492675781,23.0,14.649999618530273
2021-06-08,63.779998779296875,66.37999725341797,41.2713737487793,23.809999465942383,15.289999961853027
2021-06-09,64.19999694824219,66.13999938964844,41.56575012207031,24.1299991607666,15.079999923706055
2021-06-10,63.79999923706055,68.12000274658203,42.413551330566406,23.6299991607666,14.5600004196167
2021-06-11,65.16999816894531,67.31999969482422,42.861000061035156,23.969999313354492,14.600000381469727
2021-06-14,66.0999984741211,70.75,42.85707473754883,23.600000381469727,14.800000190734863
2021-06-15,65.36000061035156,72.2699966430664,42.61764907836914,23.489999771118164,14.760000228881836
2021-06-16,65.62000274658203,71.08000183105469,42.90024948120117,23.81999969482422,14.680000305175781
2021-06-17,66.22000122070312,70.6500015258789,43.959999084472656,24.399999618530273,15.0600004196167
2021-06-18,66.2300033569336,70.5,44.24259948730469,24.649999618530273,15.170000076293945
2021-06-21,66.30000305175781,70.48999786376953,43.37125015258789,24.440000534057617,15.75
2021-06-22,66.5999984741211,69.83000183105469,43.41835021972656,24.309999465942383,15.930000305175781
2021-06-23,66.33000183105469,68.29000091552734,43.50077438354492,24.899999618530273,15.800000190734863
2021-06-24,65.23999786376953,70.37000274658203,42.17412567138672,24.450000762939453,15.770000457763672
2021-06-25,65.58000183105469,68.0999984741211,41.899375915527344,24.8700008392334,15.720000267028809
2021-06-28,66.23999786376953,69.44999694824219,42.30757522583008,25.68000030517578,16.030000686645508
2021-06-29,67.33000183105469,68.87999725341797,42.547000885009766,25.84000015258789,16.020000457763672
2021-06-30,68.0,66.26000213623047,42.947349548339844,25.760000228881836,15.789999961853027
2021-07-01,69.12999725341797,65.54000091552734,43.332000732421875,24.899999618530273,15.460000038146973
2021-07-02,70.93000030517578,66.70999908447266,44.3328742980957,25.229999542236328,15.600000381469727
2021-07-05,70.5199966430664,65.75,44.352500915527344,24.65999984741211,15.479999542236328
2021-07-06,73.98999786376953,64.37999725341797,47.83789825439453,24.389999389648438,15.0
2021-07-07,75.69999694824219,66.80000305175781,48.340301513671875,24.420000076293945,15.149999618530273
2021-07-08,75.19000244140625,65.91999816894531,49.125301361083984,24.8799991607666,14.850000381469727
2021-07-12,74.8499984741211,67.30000305175781,48.04199981689453,24.549999237060547,14.729999542236328
2021-07-13,75.37999725341797,68.55000305175781,47.700523376464844,24.100000381469727,14.859999656677246
2021-07-14,75.1500015258789,66.55000305175781,46.672176361083984,23.940000534057617,14.859999656677246
2021-07-15,76.19000244140625,65.29000091552734,46.570125579833984,23.959999084472656,14.729999542236328
2021-07-16,74.75,68.0,45.6870002746582,23.510000228881836,14.600000381469727
2021-07-19,74.41000366210938,61.91999816894531,46.39742660522461,23.389999389648438,14.050000190734863
2021-07-20,75.5999984741211,61.33000183105469,46.70750045776367,23.149999618530273,14.029999732971191
2021-07-21,75.41000366210938,57.849998474121094,46.38957595825195,22.899999618530273,14.149999618530273
2021-07-22,76.6500015258789,57.5,47.382598876953125,23.399999618530273,14.279999732971191
2021-07-23,77.3499984741211,55.97999954223633,47.747623443603516,23.579999923706055,14.09000015258789
2021-07-26,77.30000305175781,53.08000183105469,47.8849983215332,23.09000015258789,13.739999771118164
2021-07-27,75.36000061035156,51.869998931884766,46.864498138427734,22.479999542236328,13.25
2021-07-28,74.01000213623047,53.0,46.45237350463867,22.3799991607666,13.270000457763672
2021-07-29,73.77999877929688,51.88999938964844,44.744998931884766,22.459999084472656,13.199999809265137
2021-07-30,75.9000015258789,49.099998474121094,43.414424896240234,22.84000015258789,12.59000015258789
2021-08-02,75.30000305175781,51.27000045776367,43.096500396728516,23.610000610351562,12.729999542236328
2021-08-03,76.25,49.0,43.645999908447266,24.940000534057617,12.5600004196167
